joint1,joint2,joint3,joint4,joint5,joint6,joint7,joint8,joint9,joint10,joint11,joint12
0.0771277,-0.375283,1.15833,0.222505,1.22334,-0.307673,0.136501,-0.208577,1.03019,-0.11997,0.934151,0.803608
0.0857037,-0.372288,1.15611,0.219899,1.21948,-0.305588,0.132361,-0.206177,1.01842,-0.11695,0.931189,0.796345
0.0934106,-0.370473,1.15364,0.218117,1.21576,-0.303538,0.128825,-0.203763,1.00669,-0.115354,0.928728,0.790673
0.100901,-0.368954,1.15111,0.216539,1.21208,-0.301496,0.125438,-0.201347,0.994969,-0.114114,0.926393,0.785397
0.10884,-0.366827,1.14871,0.214531,1.20833,-0.299435,0.121737,-0.19894,0.983225,-0.112143,0.923801,0.7793
0.117566,-0.363631,1.14656,0.211774,1.20444,-0.297341,0.117486,-0.196549,0.971437,-0.108881,0.920754,0.771761
0.127014,-0.35946,1.14461,0.208336,1.20043,-0.295219,0.112733,-0.19417,0.959608,-0.104439,0.917291,0.762905
0.136862,-0.354755,1.14277,0.204528,1.19635,-0.29308,0.107704,-0.191798,0.947753,-0.0993456,0.9136,0.753326
0.146712,-0.350056,1.14093,0.20073,1.19226,-0.290941,0.102676,-0.189423,0.935893,-0.0942492,0.90991,0.743752
0.15627,-0.34576,1.139,0.197217,1.18821,-0.288814,0.097853,-0.187043,0.924046,-0.0896336,0.906389,0.734719
0.16543,-0.342,1.13695,0.194078,1.18424,-0.286703,0.0933059,-0.184655,0.912222,-0.0856666,0.903096,0.726409
0.174248,-0.338691,1.1348,0.191248,1.18033,-0.284606,0.0889946,-0.182264,0.900424,-0.0822587,0.899999,0.718714
0.182867,-0.335629,1.13262,0.18858,1.17647,-0.282517,0.0848156,-0.179872,0.888648,-0.0791696,0.897011,0.71136
0.191463,-0.332577,1.13045,0.185906,1.17263,-0.28043,0.0806476,-0.177483,0.876885,-0.0761151,0.894034,0.704028
0.200172,-0.329356,1.12833,0.183107,1.16878,-0.278337,0.0763971,-0.175099,0.865124,-0.0728715,0.890988,0.696476
0.209058,-0.325903,1.12625,0.180148,1.1649,-0.276238,0.0720248,-0.172717,0.85335,-0.0693394,0.887841,0.688605
0.218118,-0.322245,1.12419,0.177063,1.16096,-0.274131,0.0675394,-0.170333,0.841549,-0.0655297,0.8846,0.680447
0.227303,-0.318468,1.12214,0.173921,1.15697,-0.272019,0.0629796,-0.167943,0.829715,-0.0615268,0.881296,0.672109
0.236541,-0.314676,1.12005,0.170797,1.15293,-0.269905,0.058397,-0.165546,0.817848,-0.0574502,0.877973,0.663726
0.245756,-0.310949,1.11793,0.167737,1.14888,-0.267792,0.0538387,-0.163142,0.805964,-0.0534177,0.874669,0.655418
0.25489,-0.307322,1.1158,0.164742,1.14484,-0.265682,0.0493344,-0.160739,0.794089,-0.0495161,0.87141,0.647249
0.263906,-0.303786,1.11368,0.161775,1.14087,-0.263577,0.0448952,-0.158344,0.782258,-0.0457921,0.868206,0.639231
0.272796,-0.300308,1.11162,0.158789,1.137,-0.261477,0.0405156,-0.155965,0.770494,-0.0422502,0.865054,0.631335
0.28158,-0.296842,1.10963,0.155744,1.13323,-0.259382,0.0361771,-0.153605,0.758805,-0.0388519,0.861938,0.62351
0.290315,-0.293352,1.1077,0.152634,1.12954,-0.257289,0.0318503,-0.151258,0.747167,-0.0355143,0.858833,0.615688
0.299088,-0.28982,1.10578,0.149499,1.12583,-0.255195,0.0274992,-0.148911,0.735522,-0.0321163,0.855708,0.607805
0.307996,-0.286246,1.10378,0.14641,1.122,-0.253095,0.0230893,-0.146544,0.723795,-0.0285284,0.852532,0.59981
0.317114,-0.282645,1.10163,0.143434,1.11796,-0.250985,0.0185969,-0.14414,0.711919,-0.0246533,0.849283,0.591673
0.326463,-0.279033,1.09931,0.14061,1.11368,-0.248866,0.0140193,-0.141691,0.69987,-0.0204677,0.845957,0.583401
0.335977,-0.275429,1.09685,0.137912,1.10922,-0.246739,0.0093843,-0.139209,0.687688,-0.0160628,0.84258,0.575047
0.345488,-0.271843,1.09438,0.135233,1.10474,-0.244612,0.0047547,-0.136724,0.675499,-0.0116657,0.839206,0.566711
0.35477,-0.268276,1.09208,0.132416,1.1005,-0.242495,0.000212317,-0.134282,0.663478,-0.00757926,0.835911,0.558518
0.36362,-0.264726,1.09011,0.129314,1.09672,-0.240397,-0.00417101,-0.131922,0.651783,-0.00407374,0.832757,0.550576
0.371945,-0.261185,1.08855,0.125852,1.09351,-0.238323,-0.00836307,-0.129665,0.640491,-0.00127417,0.829776,0.54293
0.379841,-0.257645,1.08733,0.122088,1.09076,-0.236268,-0.012401,-0.127492,0.62953,0.000951425,0.826933,0.535519
0.387657,-0.254097,1.08618,0.11826,1.08811,-0.234216,-0.0164112,-0.125336,0.618636,0.0030687,0.824116,0.528146
0.395909,-0.250538,1.08469,0.114727,1.08499,-0.232146,-0.0205809,-0.123096,0.607409,0.00577025,0.821156,0.520526
0.405097,-0.246964,1.08246,0.111839,1.08086,-0.230033,-0.0250905,-0.120673,0.595463,0.00972843,0.817891,0.512381
0.415508,-0.243378,1.07928,0.109794,1.0754,-0.227866,-0.0300442,-0.118011,0.582576,0.0153339,0.814225,0.503551
0.427018,-0.239787,1.07522,0.108502,1.06874,-0.225649,-0.0353987,-0.115136,0.568846,0.0224345,0.810196,0.494097
0.438933,-0.236201,1.07085,0.107473,1.06161,-0.223411,-0.040906,-0.112185,0.554809,0.0301212,0.806022,0.484392
0.450088,-0.232634,1.06707,0.105892,1.05528,-0.221204,-0.0461452,-0.109389,0.541363,0.0368349,0.80208,0.475079
0.459187,-0.229086,1.06491,0.102888,1.05117,-0.219089,-0.0506386,-0.106994,0.5295,0.0407829,0.798809,0.466916
0.46518,-0.225541,1.0652,0.0978208,1.05053,-0.217122,-0.0539811,-0.10519,0.520003,0.0403977,0.796602,0.460591
0.467642,-0.221953,1.06828,0.090566,1.05401,-0.215341,-0.0559682,-0.104024,0.51315,0.034795,0.795699,0.456554
0.467106,-0.218238,1.07375,0.081776,1.06133,-0.213752,-0.0567127,-0.103335,0.508448,0.0241895,0.796088,0.454849
0.465039,-0.214284,1.08046,0.0728428,1.0713,-0.212336,-0.0566504,-0.102757,0.504675,0.00991835,0.797489,0.455106
0.463376,-0.20999,1.08686,0.06551,1.08214,-0.211065,-0.0564113,-0.101813,0.500293,-0.00601265,0.799445,0.456703
0.463972,-0.205297,1.09144,0.0614213,1.092,-0.209936,-0.0566675,-0.100032,0.493922,-0.0214667,0.801423,0.458966
0.46806,-0.200232,1.09312,0.0616679,1.09941,-0.208989,-0.0579797,-0.0970577,0.484821,-0.0347153,0.802917,0.461366
0.475736,-0.194939,1.09165,0.0663629,1.10367,-0.208338,-0.0606524,-0.0927591,0.473337,-0.0449497,0.803554,0.463708
0.485833,-0.189675,1.08774,0.074533,1.10506,-0.208165,-0.064675,-0.0872623,0.460976,-0.052461,0.803144,0.466189
0.496401,-0.184743,1.08269,0.0845001,1.10455,-0.208686,-0.0697993,-0.0808756,0.449904,-0.0583099,0.80167,0.46927
0.505322,-0.180413,1.07803,0.0943755,1.10342,-0.210101,-0.0756464,-0.0739868,0.442313,-0.0638779,0.799253,0.473492
0.510928,-0.176839,1.07509,0.102556,1.10292,-0.212551,-0.0818155,-0.0669608,0.439787,-0.0704179,0.79612,0.479302
0.5126,-0.173981,1.07455,0.108208,1.10387,-0.216067,-0.0879894,-0.0600395,0.442682,-0.0786162,0.792574,0.486878
0.511033,-0.171581,1.07632,0.111496,1.10647,-0.220557,-0.0939961,-0.0532912,0.449884,-0.0883692,0.788961,0.496039
0.507865,-0.169233,1.07964,0.113341,1.11046,-0.225829,-0.0997857,-0.0466526,0.459245,-0.0989749,0.785623,0.506337
